ensembl,WT1,WT2,WT3,WT4,WT5,MT16W1,MT16W2,MT16W3,MT16W4,MT16W5,MT20W1,MT20W2,MT20W3,MT20W4
ENSMUSG00000000381,7.11385,6.03634,5.74407,12.0938,6.82127,5.55154,8.63576,5.59765,11.0468,9.56496,4.82246,4.78954,4.48836,5.66674
ENSMUSG00000044303,2.64491,3.31926,3.58258,3.47888,3.44862,5.94204,7.24748,4.96994,6.53979,6.65232,9.84495,10.7585,10.4573,11.3908
ENSMUSG00000031710,10.5832,10.4351,10.724,3.82885,10.0939,11.5689,11.2712,9.83732,10.5551,9.29424,10.0956,7.94099,3.47854,3.3429
ENSMUSG00000061937,13.257,12.6798,11.2968,13.1322,12.7101,11.6022,13.0535,12.4307,13.429,13.1854,9.10668,8.14046,4.23134,6.42586
ENSMUSG00000022491,3.5079,3.29976,3.17369,8.57483,3.51479,3.532,5.94422,3.66764,8.55584,8.04303,3.23051,3.27667,3.20691,3.20036
ENSMUSG00000025479,13.2917,13.4913,13.1872,13.2028,13.6054,12.3181,11.7676,12.2429,12.3115,13.1594,8.06265,7.46944,6.78147,5.34826
ENSMUSG00000063157,12.764,12.0458,11.0724,12.96,12.3433,12.345,12.768,12.6537,13.1717,12.7341,8.63752,7.99445,4.28332,6.66345
ENSMUSG00000057003,13.2935,12.8996,13.5815,6.25634,13.0749,12.4203,12.5669,13.5145,13.2881,11.4022,11.6702,12.027,3.78796,9.14304
ENSMUSG00000056973,11.9717,12.0835,11.4509,11.2881,12.2405,11.5879,11.3582,11.8201,10.5301,11.987,8.6332,6.57128,4.94995,3.93406
ENSMUSG00000024512,3.21571,3.04227,3.60563,3.36334,2.83498,5.69491,7.04391,4.95216,5.79249,7.32015,6.68133,11.5204,8.65668,8.25371
ENSMUSG00000061723,12.8296,12.5375,13.3815,6.07885,12.7458,11.819,11.8294,13.0998,13.1524,11.0239,10.7259,11.1649,3.75078,8.246
ENSMUSG00000022991,9.56568,9.33121,9.24981,9.86084,8.13512,10.2351,9.29667,9.49062,9.89378,9.62548,4.97852,4.56827,4.1947,3.90974
ENSMUSG00000056328,12.5745,12.1422,12.8348,5.86691,12.2956,10.6877,11.1444,12.7477,12.3782,10.2381,10.8257,10.8867,2.93515,8.7755
ENSMUSG00000035686,11.8436,12.5396,12.1852,12.5274,12.1223,13.0542,12.4151,10.7614,12.0576,12.9033,8.76145,8.25898,5.26905,5.04713
ENSMUSG00000031725,9.3913,9.74255,9.99215,9.78151,9.99745,9.88766,9.38063,9.22068,8.61867,9.641,4.87827,4.07073,3.09259,3.03973
